Driver,QualifyingPosition,Winner,Race
RIC,9,0,2021 São Paulo Grand Prix
RUS,18,0,2021 São Paulo Grand Prix
SAI,6,0,2021 São Paulo Grand Prix
STR,16,0,2021 São Paulo Grand Prix
TSU,13,0,2021 São Paulo Grand Prix
VER,2,0,2021 São Paulo Grand Prix
VET,14,0,2021 São Paulo Grand Prix
ALO,5,0,2021 Qatar Grand Prix
BOT,3,0,2021 Qatar Grand Prix
GAS,4,0,2021 Qatar Grand Prix
GIO,18,0,2021 Qatar Grand Prix
HAM,1,1,2021 Qatar Grand Prix
LAT,17,0,2021 Qatar Grand Prix
LEC,13,0,2021 Qatar Grand Prix
MAZ,20,0,2021 Qatar Grand Prix
MSC,19,0,2021 Qatar Grand Prix
NOR,6,0,2021 Qatar Grand Prix
OCO,9,0,2021 Qatar Grand Prix
PER,11,0,2021 Qatar Grand Prix
RAI,16,0,2021 Qatar Grand Prix
RIC,14,0,2021 Qatar Grand Prix
RUS,15,0,2021 Qatar Grand Prix
SAI,7,0,2021 Qatar Grand Prix
STR,12,0,2021 Qatar Grand Prix
TSU,8,0,2021 Qatar Grand Prix
VER,2,0,2021 Qatar Grand Prix
VET,10,0,2021 Qatar Grand Prix
ALO,14,0,2021 Saudi Arabian Grand Prix
BOT,2,0,2021 Saudi Arabian Grand Prix
GAS,6,0,2021 Saudi Arabian Grand Prix
GIO,12,0,2021 Saudi Arabian Grand Prix
HAM,1,1,2021 Saudi Arabian Grand Prix
LAT,16,0,2021 Saudi Arabian Grand Prix
LEC,5,0,2021 Saudi Arabian Grand Prix
MAZ,20,0,2021 Saudi Arabian Grand Prix
MSC,19,0,2021 Saudi Arabian Grand Prix
NOR,7,0,2021 Saudi Arabian Grand Prix
OCO,11,0,2021 Saudi Arabian Grand Prix
PER,4,0,2021 Saudi Arabian Grand Prix
RAI,13,0,2021 Saudi Arabian Grand Prix
RIC,8,0,2021 Saudi Arabian Grand Prix
RUS,15,0,2021 Saudi Arabian Grand Prix
SAI,10,0,2021 Saudi Arabian Grand Prix
STR,18,0,2021 Saudi Arabian Grand Prix
TSU,9,0,2021 Saudi Arabian Grand Prix
VER,3,0,2021 Saudi Arabian Grand Prix
VET,17,0,2021 Saudi Arabian Grand Prix
ALO,11,0,2021 Abu Dhabi Grand Prix
BOT,7,0,2021 Abu Dhabi Grand Prix
GAS,12,0,2021 Abu Dhabi Grand Prix
GIO,14,0,2021 Abu Dhabi Grand Prix
HAM,2,0,2021 Abu Dhabi Grand Prix
LAT,16,0,2021 Abu Dhabi Grand Prix
LEC,8,0,2021 Abu Dhabi Grand Prix
MAZ,20,0,2021 Abu Dhabi Grand Prix
MSC,19,0,2021 Abu Dhabi Grand Prix
NOR,3,0,2021 Abu Dhabi Grand Prix
OCO,9,0,2021 Abu Dhabi Grand Prix
PER,4,0,2021 Abu Dhabi Grand Prix
RAI,18,0,2021 Abu Dhabi Grand Prix
RIC,10,0,2021 Abu Dhabi Grand Prix
RUS,17,0,2021 Abu Dhabi Grand Prix
SAI,5,0,2021 Abu Dhabi Grand Prix
STR,13,0,2021 Abu Dhabi Grand Prix
TSU,6,0,2021 Abu Dhabi Grand Prix
VER,1,1,2021 Abu Dhabi Grand Prix
VET,15,0,2021 Abu Dhabi Grand Prix
ALB,15,0,2022 Bahrain Grand Prix
ALO,9,0,2022 Bahrain Grand Prix
BOT,8,0,2022 Bahrain Grand Prix
GAS,10,0,2022 Bahrain Grand Prix
HAM,5,0,2022 Bahrain Grand Prix
HUL,17,0,2022 Bahrain Grand Prix
LAT,20,0,2022 Bahrain Grand Prix
LEC,1,1,2022 Bahrain Grand Prix
MAG,7,0,2022 Bahrain Grand Prix
MSC,12,0,2022 Bahrain Grand Prix
NOR,13,0,2022 Bahrain Grand Prix
OCO,11,0,2022 Bahrain Grand Prix
PER,4,0,2022 Bahrain Grand Prix
RIC,18,0,2022 Bahrain Grand Prix
RUS,6,0,2022 Bahrain Grand Prix
SAI,3,0,2022 Bahrain Grand Prix
STR,19,0,2022 Bahrain Grand Prix
TSU,16,0,2022 Bahrain Grand Prix
VER,2,0,2022 Bahrain Grand Prix
ZHO,14,0,2022 Bahrain Grand Prix
ALB,16,0,2022 Australian Grand Prix
ALO,6,0,2022 Australian Grand Prix
BOT,12,0,2022 Australian Grand Prix
GAS,11,0,2022 Australian Grand Prix
HAM,7,0,2022 Australian Grand Prix
LAT,19,0,2022 Australian Grand Prix
LEC,1,1,2022 Australian Grand Prix
MAG,17,0,2022 Australian Grand Prix
MSC,15,0,2022 Australian Grand Prix
NOR,5,0,2022 Australian Grand Prix
OCO,10,0,2022 Australian Grand Prix
PER,3,0,2022 Australian Grand Prix
RIC,9,0,2022 Australian Grand Prix
RUS,8,0,2022 Australian Grand Prix
SAI,4,0,2022 Australian Grand Prix
STR,20,0,2022 Australian Grand Prix
TSU,13,0,2022 Australian Grand Prix
VER,2,0,2022 Australian Grand Prix
VET,18,0,2022 Australian Grand Prix
ZHO,14,0,2022 Australian Grand Prix
ALB,20,0,2022 Emilia Romagna Grand Prix
ALO,6,0,2022 Emilia Romagna Grand Prix
BOT,11,0,2022 Emilia Romagna Grand Prix
GAS,17,0,2022 Emilia Romagna Grand Prix
HAM,15,0,2022 Emilia Romagna Grand Prix
LAT,18,0,2022 Emilia Romagna Grand Prix
LEC,2,0,2022 Emilia Romagna Grand Prix
MAG,8,0,2022 Emilia Romagna Grand Prix
MSC,14,0,2022 Emilia Romagna Grand Prix
NOR,4,0,2022 Emilia Romagna Grand Prix
OCO,19,0,2022 Emilia Romagna Grand Prix
PER,5,0,2022 Emilia Romagna Grand Prix
RIC,10,0,2022 Emilia Romagna Grand Prix
RUS,13,0,2022 Emilia Romagna Grand Prix
SAI,3,0,2022 Emilia Romagna Grand Prix
STR,12,0,2022 Emilia Romagna Grand Prix
TSU,16,0,2022 Emilia Romagna Grand Prix
VER,1,1,2022 Emilia Romagna Grand Prix
VET,9,0,2022 Emilia Romagna Grand Prix
ZHO,7,0,2022 Emilia Romagna Grand Prix
